area,UNIT_MEASURE,type,TIME_PERIOD,OBS_VALUE,type_id
Australia,PT_POP,Government/compulsory health insurance,2004,100,1
Australia,PT_POP,Government/compulsory health insurance,2005,100,1
Australia,PT_POP,Government/compulsory health insurance,2006,100,1
Australia,PT_POP,Government/compulsory health insurance,2007,100,1
Australia,PT_POP,Government/compulsory health insurance,2008,100,1
Australia,PT_POP,Government/compulsory health insurance,2009,100,1
Australia,PT_POP,Government/compulsory health insurance,2010,100,1
Australia,PT_POP,Government/compulsory health insurance,2011,100,1
Australia,PT_POP,Government/compulsory health insurance,2012,100,1
Australia,PT_POP,Government/compulsory health insurance,2013,100,1
Australia,PT_POP,Government/compulsory health insurance,2014,100,1
Australia,PT_POP,Government/compulsory health insurance,2015,100,1
Australia,PT_POP,Government/compulsory health insurance,2016,100,1
Australia,PT_POP,Government/compulsory health insurance,2017,100,1
Australia,PT_POP,Government/compulsory health insurance,2018,100,1
Australia,PT_POP,Government/compulsory health insurance,2019,100,1
Australia,PT_POP,Government/compulsory health insurance,2020,100,1
Australia,PT_POP,Government/compulsory health insurance,2021,100,1
Australia,PT_POP,Government/compulsory health insurance,2022,100,1
Australia,PT_POP,Government/compulsory health insurance,2023,100,1
Austria,PS,Government/compulsory health insurance,2000,7931.5,1
Austria,PS,Government/compulsory health insurance,2001,7961.9,1
Austria,PS,Government/compulsory health insurance,2002,7839.7,1
Austria,PS,Government/compulsory health insurance,2003,7955.9,1
Austria,PS,Government/compulsory health insurance,2004,8006.1,1
Austria,PS,Government/compulsory health insurance,2005,8060.8,1
Austria,PS,Government/compulsory health insurance,2006,8143.9,1
Austria,PS,Government/compulsory health insurance,2007,8187.4,1
Austria,PS,Government/compulsory health insurance,2008,8221.7,1
Austria,PS,Government/compulsory health insurance,2009,8258.1,1
Austria,PS,Government/compulsory health insurance,2010,8302.5,1
Austria,PS,Government/compulsory health insurance,2011,8380.1,1
Austria,PS,Government/compulsory health insurance,2012,8417.9,1
Austria,PS,Government/compulsory health insurance,2013,8468.8,1
Austria,PS,Government/compulsory health insurance,2014,8535.4,1
Austria,PS,Government/compulsory health insurance,2015,8620.9,1
Austria,PS,Government/compulsory health insurance,2016,8731.1,1
Austria,PS,Government/compulsory health insurance,2017,8786.3,1
Austria,PS,Government/compulsory health insurance,2018,8828.9,1
Austria,PS,Government/compulsory health insurance,2019,8868.8,1
Austria,PS,Government/compulsory health insurance,2020,8907.9,1
Austria,PS,Government/compulsory health insurance,2021,8947.3,1
Austria,PS,Government/compulsory health insurance,2022,9043.8,1
Austria,PT_POP,Government/compulsory health insurance,2000,99,1
Austria,PT_POP,Government/compulsory health insurance,2001,99,1
Austria,PT_POP,Government/compulsory health insurance,2002,97,1
Austria,PT_POP,Government/compulsory health insurance,2003,98,1
Austria,PT_POP,Government/compulsory health insurance,2004,98,1
Austria,PT_POP,Government/compulsory health insurance,2005,98,1
Austria,PT_POP,Government/compulsory health insurance,2006,98.5,1
Austria,PT_POP,Government/compulsory health insurance,2007,98.7,1
Austria,PT_POP,Government/compulsory health insurance,2008,98.8,1
Austria,PT_POP,Government/compulsory health insurance,2009,99,1
Austria,PT_POP,Government/compulsory health insurance,2010,99.3,1
Austria,PT_POP,Government/compulsory health insurance,2011,99.9,1
Austria,PT_POP,Government/compulsory health insurance,2012,99.9,1
Austria,PT_POP,Government/compulsory health insurance,2013,99.9,1
Austria,PT_POP,Government/compulsory health insurance,2014,99.9,1
Austria,PT_POP,Government/compulsory health insurance,2015,99.9,1
Austria,PT_POP,Government/compulsory health insurance,2016,99.9,1
Austria,PT_POP,Government/compulsory health insurance,2017,99.9,1
Austria,PT_POP,Government/compulsory health insurance,2018,99.9,1
Austria,PT_POP,Government/compulsory health insurance,2019,99.9,1
Austria,PT_POP,Government/compulsory health insurance,2020,99.9,1
Austria,PT_POP,Government/compulsory health insurance,2021,99.9,1
Austria,PT_POP,Government/compulsory health insurance,2022,99.9,1
Austria,PT_POP,Public and primary voluntary health insurance,2000,99,2
Austria,PT_POP,Public and primary voluntary health insurance,2001,99,2
Austria,PT_POP,Public and primary voluntary health insurance,2002,97,2
Austria,PT_POP,Public and primary voluntary health insurance,2003,98,2
Austria,PT_POP,Public and primary voluntary health insurance,2004,98,2
Austria,PT_POP,Public and primary voluntary health insurance,2005,98,2
Austria,PT_POP,Public and primary voluntary health insurance,2006,98.5,2
Austria,PT_POP,Public and primary voluntary health insurance,2007,98.7,2
Austria,PT_POP,Public and primary voluntary health insurance,2008,98.8,2
Austria,PT_POP,Public and primary voluntary health insurance,2009,99,2
Austria,PT_POP,Public and primary voluntary health insurance,2010,99.3,2
Austria,PT_POP,Public and primary voluntary health insurance,2011,99.9,2
Austria,PT_POP,Public and primary voluntary health insurance,2012,99.9,2
Austria,PT_POP,Public and primary voluntary health insurance,2013,99.9,2
Austria,PT_POP,Public and primary voluntary health insurance,2014,99.9,2
Austria,PT_POP,Public and primary voluntary health insurance,2015,99.9,2
Austria,PT_POP,Public and primary voluntary health insurance,2016,99.9,2
Austria,PT_POP,Public and primary voluntary health insurance,2017,99.9,2
Austria,PT_POP,Public and primary voluntary health insurance,2018,99.9,2
Austria,PT_POP,Public and primary voluntary health insurance,2019,99.9,2
Austria,PT_POP,Public and primary voluntary health insurance,2020,99.9,2
Austria,PT_POP,Public and primary voluntary health insurance,2021,99.9,2
Austria,PT_POP,Public and primary voluntary health insurance,2022,99.9,2
Belgium,PT_POP,Public and primary voluntary health insurance,2000,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2001,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2002,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2003,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2004,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2005,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2006,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2007,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2008,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2009,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2010,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2011,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2012,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2013,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2014,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2015,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2016,99,2
Belgium,PT_POP,Public and primary voluntary health insurance,2017,98.7,2
Belgium,PT_POP,Public and primary voluntary health insurance,2018,98.7,2
Belgium,PT_POP,Public and primary voluntary health insurance,2019,98.6,2
Belgium,PT_POP,Public and primary voluntary health insurance,2020,98.6,2
Belgium,PT_POP,Public and primary voluntary health insurance,2021,98.6,2
Belgium,PT_POP,Public and primary voluntary health insurance,2022,98.5,2
Belgium,PT_POP,Government/compulsory health insurance,2000,99,1
Belgium,PT_POP,Government/compulsory health insurance,2001,99,1
Belgium,PT_POP,Government/compulsory health insurance,2002,99,1
Belgium,PT_POP,Government/compulsory health insurance,2003,99,1
Belgium,PT_POP,Government/compulsory health insurance,2004,99,1
Belgium,PT_POP,Government/compulsory health insurance,2005,99,1
Belgium,PT_POP,Government/compulsory health insurance,2006,99,1
Belgium,PT_POP,Government/compulsory health insurance,2007,99,1
Belgium,PT_POP,Government/compulsory health insurance,2008,99,1
Belgium,PT_POP,Government/compulsory health insurance,2009,99,1
Belgium,PT_POP,Government/compulsory health insurance,2010,99,1
Belgium,PT_POP,Government/compulsory health insurance,2011,99,1
Belgium,PT_POP,Government/compulsory health insurance,2012,99,1
Belgium,PT_POP,Government/compulsory health insurance,2013,99,1
Belgium,PT_POP,Government/compulsory health insurance,2014,99,1
Belgium,PT_POP,Government/compulsory health insurance,2015,99,1
Belgium,PT_POP,Government/compulsory health insurance,2016,99,1
Belgium,PT_POP,Government/compulsory health insurance,2017,98.7,1
Belgium,PT_POP,Government/compulsory health insurance,2018,98.7,1
Belgium,PT_POP,Government/compulsory health insurance,2019,98.6,1
Belgium,PT_POP,Government/compulsory health insurance,2020,98.6,1
Belgium,PT_POP,Government/compulsory health insurance,2021,98.6,1
Belgium,PT_POP,Government/compulsory health insurance,2022,98.5,1
Belgium,PS,Government/compulsory health insurance,2000,10165,1
Belgium,PS,Government/compulsory health insurance,2001,10217,1
Belgium,PS,Government/compulsory health insurance,2002,10264,1
Belgium,PS,Government/compulsory health insurance,2003,10309,1
Belgium,PS,Government/compulsory health insurance,2004,10360,1
Belgium,PS,Government/compulsory health insurance,2005,10420,1
Belgium,PS,Government/compulsory health insurance,2006,10476,1
Belgium,PS,Government/compulsory health insurance,2007,10477,1
Belgium,PS,Government/compulsory health insurance,2008,10563,1
Belgium,PS,Government/compulsory health insurance,2009,10650,1
Belgium,PS,Government/compulsory health insurance,2010,10735,1
Belgium,PS,Government/compulsory health insurance,2011,10824,1
Belgium,PS,Government/compulsory health insurance,2012,10952,1
Belgium,PS,Government/compulsory health insurance,2013,11013,1
Belgium,PS,Government/compulsory health insurance,2014,11063,1
Belgium,PS,Government/compulsory health insurance,2015,11114.3,1
Belgium,PS,Government/compulsory health insurance,2016,11180,1
Belgium,PS,Government/compulsory health insurance,2017,11227,1
Belgium,PS,Government/compulsory health insurance,2018,11280.1,1
Belgium,PS,Government/compulsory health insurance,2019,11337.2,1
Belgium,PS,Government/compulsory health insurance,2020,11360.8,1
Belgium,PS,Government/compulsory health insurance,2021,11417.6,1
Belgium,PS,Government/compulsory health insurance,2022,11524.1,1
Canada,PS,Government/compulsory health insurance,2000,30686,1
Canada,PS,Government/compulsory health insurance,2001,31021,1
Canada,PS,Government/compulsory health insurance,2002,31360,1
Canada,PS,Government/compulsory health insurance,2003,31644,1
Canada,PS,Government/compulsory health insurance,2004,31941,1
Canada,PS,Government/compulsory health insurance,2005,32244,1
Canada,PS,Government/compulsory health insurance,2006,32571,1
Canada,PS,Government/compulsory health insurance,2007,32889,1
Canada,PS,Government/compulsory health insurance,2008,33247,1
Canada,PS,Government/compulsory health insurance,2009,33629,1
Canada,PS,Government/compulsory health insurance,2010,34005,1
Canada,PS,Government/compulsory health insurance,2011,34339,1
Canada,PS,Government/compulsory health insurance,2012,34714,1
Canada,PS,Government/compulsory health insurance,2013,35083,1
Canada,PS,Government/compulsory health insurance,2014,35437,1
Canada,PS,Government/compulsory health insurance,2015,35703,1
Canada,PS,Government/compulsory health insurance,2016,36109,1
Canada,PS,Government/compulsory health insurance,2017,36545,1
Canada,PS,Government/compulsory health insurance,2018,37065,1
Canada,PS,Government/compulsory health insurance,2019,37601,1
Canada,PS,Government/compulsory health insurance,2020,38007,1
Canada,PS,Government/compulsory health insurance,2021,38246.1,1
Canada,PS,Government/compulsory health insurance,2022,38882.1,1
Canada,PS,Government/compulsory health insurance,2023,39426.2,1
Canada,PT_POP,Public and primary voluntary health insurance,2000,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2001,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2002,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2003,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2004,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2005,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2006,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2007,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2008,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2009,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2010,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2011,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2012,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2013,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2014,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2015,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2016,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2017,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2018,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2019,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2020,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2021,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2022,100,2
Canada,PT_POP,Public and primary voluntary health insurance,2023,100,2
Canada,PT_POP,Government/compulsory health insurance,2000,100,1
Canada,PT_POP,Government/compulsory health insurance,2001,100,1
Canada,PT_POP,Government/compulsory health insurance,2002,100,1
Canada,PT_POP,Government/compulsory health insurance,2003,100,1
Canada,PT_POP,Government/compulsory health insurance,2004,100,1
Canada,PT_POP,Government/compulsory health insurance,2005,100,1
Canada,PT_POP,Government/compulsory health insurance,2006,100,1
Canada,PT_POP,Government/compulsory health insurance,2007,100,1
Canada,PT_POP,Government/compulsory health insurance,2008,100,1
Canada,PT_POP,Government/compulsory health insurance,2009,100,1
Canada,PT_POP,Government/compulsory health insurance,2010,100,1
Canada,PT_POP,Government/compulsory health insurance,2011,100,1
Canada,PT_POP,Government/compulsory health insurance,2012,100,1
Canada,PT_POP,Government/compulsory health insurance,2013,100,1
Canada,PT_POP,Government/compulsory health insurance,2014,100,1
Canada,PT_POP,Government/compulsory health insurance,2015,100,1
Canada,PT_POP,Government/compulsory health insurance,2016,100,1
Canada,PT_POP,Government/compulsory health insurance,2017,100,1
Canada,PT_POP,Government/compulsory health insurance,2018,100,1
Canada,PT_POP,Government/compulsory health insurance,2019,100,1
Canada,PT_POP,Government/compulsory health insurance,2020,100,1
Canada,PT_POP,Government/compulsory health insurance,2021,100,1
Canada,PT_POP,Government/compulsory health insurance,2022,100,1
Canada,PT_POP,Government/compulsory health insurance,2023,100,1
Chile,PS,Government/compulsory health insurance,2000,10157.7,1
Chile,PS,Government/compulsory health insurance,2001,10156.4,1
Chile,PS,Government/compulsory health insurance,2002,10327.2,1
Chile,PS,Government/compulsory health insurance,2003,10580.1,1
Chile,PS,Government/compulsory health insurance,2004,10910.7,1
Chile,PS,Government/compulsory health insurance,2005,11149.7,1
Chile,PS,Government/compulsory health insurance,2006,11848.2,1
Chile,PS,Government/compulsory health insurance,2007,12220.7,1
Chile,PS,Government/compulsory health insurance,2008,12625,1
Chile,PS,Government/compulsory health insurance,2009,12595.8,1
Chile,PS,Government/compulsory health insurance,2010,12699.5,1
Chile,PS,Government/compulsory health insurance,2011,13200.3,1
Chile,PS,Government/compulsory health insurance,2012,13374.1,1
Chile,PS,Government/compulsory health insurance,2013,13449.3,1
Chile,PS,Government/compulsory health insurance,2014,13466.3,1
Chile,PS,Government/compulsory health insurance,2015,13256.2,1
Chile,PS,Government/compulsory health insurance,2016,13714.3,1
Chile,PS,Government/compulsory health insurance,2017,13914,1
Chile,PS,Government/compulsory health insurance,2018,14102.7,1
Chile,PS,Government/compulsory health insurance,2019,14841.6,1
Chile,PS,Government/compulsory health insurance,2020,15142.5,1
Chile,PS,Government/compulsory health insurance,2021,15233.8,1
Chile,PS,Government/compulsory health insurance,2022,15613.6,1
Chile,PS,Government/compulsory health insurance,2023,16229.9,1
Chile,PT_POP,Government/compulsory health insurance,2000,65.6,1
Chile,PT_POP,Government/compulsory health insurance,2001,64.9,1
Chile,PT_POP,Government/compulsory health insurance,2002,65.6,1
Chile,PT_POP,Government/compulsory health insurance,2003,66.5,1
Chile,PT_POP,Government/compulsory health insurance,2004,67.8,1
Chile,PT_POP,Government/compulsory health insurance,2005,68.9,1
Chile,PT_POP,Government/compulsory health insurance,2006,72.5,1
Chile,PT_POP,Government/compulsory health insurance,2007,74,1
Chile,PT_POP,Government/compulsory health insurance,2008,75.6,1
Chile,PT_POP,Government/compulsory health insurance,2009,74.6,1
Chile,PT_POP,Government/compulsory health insurance,2010,74.4,1
Chile,PT_POP,Government/compulsory health insurance,2011,76.5,1
Chile,PT_POP,Government/compulsory health insurance,2012,76.7,1
Chile,PT_POP,Government/compulsory health insurance,2013,76.4,1
Chile,PT_POP,Government/compulsory health insurance,2014,75.7,1
Chile,PT_POP,Government/compulsory health insurance,2015,73.8,1
Chile,PT_POP,Government/compulsory health insurance,2016,75.5,1
Chile,PT_POP,Government/compulsory health insurance,2017,75.5,1
Chile,PT_POP,Government/compulsory health insurance,2018,75.2,1
Chile,PT_POP,Government/compulsory health insurance,2019,77.7,1
Chile,PT_POP,Government/compulsory health insurance,2020,77.8,1
Chile,PT_POP,Government/compulsory health insurance,2021,77.4,1
Chile,PT_POP,Government/compulsory health insurance,2022,78.7,1
Chile,PT_POP,Government/compulsory health insurance,2023,81.3,1
Chile,PT_POP,Public and primary voluntary health insurance,2000,85.6,2
Chile,PT_POP,Public and primary voluntary health insurance,2001,83.6,2
Chile,PT_POP,Public and primary voluntary health insurance,2002,83.5,2
Chile,PT_POP,Public and primary voluntary health insurance,2003,83.6,2
Chile,PT_POP,Public and primary voluntary health insurance,2004,84.5,2
Chile,PT_POP,Public and primary voluntary health insurance,2005,85.3,2
Chile,PT_POP,Public and primary voluntary health insurance,2006,88.8,2
Chile,PT_POP,Public and primary voluntary health insurance,2007,90.7,2
Chile,PT_POP,Public and primary voluntary health insurance,2008,92.2,2
Chile,PT_POP,Public and primary voluntary health insurance,2009,91,2
Chile,PT_POP,Public and primary voluntary health insurance,2010,90.9,2
Chile,PT_POP,Public and primary voluntary health insurance,2011,93.4,2
Chile,PT_POP,Public and primary voluntary health insurance,2012,94.1,2
Chile,PT_POP,Public and primary voluntary health insurance,2013,94.5,2
Chile,PT_POP,Public and primary voluntary health insurance,2014,94.2,2
Chile,PT_POP,Public and primary voluntary health insurance,2015,92.6,2
Chile,PT_POP,Public and primary voluntary health insurance,2016,94.2,2
Chile,PT_POP,Public and primary voluntary health insurance,2017,94,2
Chile,PT_POP,Public and primary voluntary health insurance,2018,93.4,2
Chile,PT_POP,Public and primary voluntary health insurance,2019,95.6,2
Chile,PT_POP,Public and primary voluntary health insurance,2020,95,2
Chile,PT_POP,Public and primary voluntary health insurance,2021,94.3,2
Chile,PT_POP,Public and primary voluntary health insurance,2022,94.6,2
Chile,PT_POP,Public and primary voluntary health insurance,2023,95.3,2
Colombia,PS,Government/compulsory health insurance,2000,22414.8,1
Colombia,PS,Government/compulsory health insurance,2001,24113.5,1
Colombia,PS,Government/compulsory health insurance,2002,26443.6,1
Colombia,PS,Government/compulsory health insurance,2003,27227,1
Colombia,PS,Government/compulsory health insurance,2004,31226.5,1
Colombia,PS,Government/compulsory health insurance,2005,35436.5,1
Colombia,PS,Government/compulsory health insurance,2006,37605.1,1
Colombia,PS,Government/compulsory health insurance,2007,39750.3,1
Colombia,PS,Government/compulsory health insurance,2008,40135.7,1
Colombia,PS,Government/compulsory health insurance,2009,40949.4,1
Colombia,PS,Government/compulsory health insurance,2010,42610.5,1
Colombia,PS,Government/compulsory health insurance,2011,44398.8,1
Colombia,PS,Government/compulsory health insurance,2012,44910.5,1
Colombia,PS,Government/compulsory health insurance,2013,45222.1,1
Colombia,PS,Government/compulsory health insurance,2014,46045.1,1
Colombia,PS,Government/compulsory health insurance,2015,47035.5,1
Colombia,PS,Government/compulsory health insurance,2016,46631.4,1
Colombia,PS,Government/compulsory health insurance,2017,46767.3,1
Colombia,PS,Government/compulsory health insurance,2018,47172.2,1
Colombia,PT_POP,Government/compulsory health insurance,2000,55.6,1
Colombia,PT_POP,Government/compulsory health insurance,2001,59.1,1
Colombia,PT_POP,Government/compulsory health insurance,2002,64,1
Colombia,PT_POP,Government/compulsory health insurance,2003,65.1,1
Colombia,PT_POP,Government/compulsory health insurance,2004,73.7,1
Colombia,PT_POP,Government/compulsory health insurance,2005,82.6,1
Colombia,PT_POP,Government/compulsory health insurance,2006,86.6,1
Colombia,PT_POP,Government/compulsory health insurance,2007,90.5,1
Colombia,PT_POP,Government/compulsory health insurance,2008,90.3,1
Colombia,PT_POP,Government/compulsory health insurance,2009,91,1
Colombia,PT_POP,Government/compulsory health insurance,2010,93.6,1
Colombia,PT_POP,Government/compulsory health insurance,2011,96.4,1
Colombia,PT_POP,Government/compulsory health insurance,2012,96.4,1
Colombia,PT_POP,Government/compulsory health insurance,2013,96,1
Colombia,PT_POP,Government/compulsory health insurance,2014,96.6,1
Colombia,PT_POP,Government/compulsory health insurance,2015,97.6,1
Colombia,PT_POP,Government/compulsory health insurance,2016,95.7,1
Colombia,PT_POP,Government/compulsory health insurance,2017,94.9,1
Colombia,PT_POP,Government/compulsory health insurance,2018,94.7,1
Colombia,PT_POP,Public and primary voluntary health insurance,2000,55.6,2
Colombia,PT_POP,Public and primary voluntary health insurance,2001,59.1,2
Colombia,PT_POP,Public and primary voluntary health insurance,2002,64,2
Colombia,PT_POP,Public and primary voluntary health insurance,2003,65.1,2
Colombia,PT_POP,Public and primary voluntary health insurance,2004,73.7,2
Colombia,PT_POP,Public and primary voluntary health insurance,2005,82.6,2
Colombia,PT_POP,Public and primary voluntary health insurance,2006,86.6,2
Colombia,PT_POP,Public and primary voluntary health insurance,2007,90.5,2
Colombia,PT_POP,Public and primary voluntary health insurance,2008,90.3,2
Colombia,PT_POP,Public and primary voluntary health insurance,2009,91,2
Colombia,PT_POP,Public and primary voluntary health insurance,2010,93.6,2
Colombia,PT_POP,Public and primary voluntary health insurance,2011,96.4,2
Colombia,PT_POP,Public and primary voluntary health insurance,2012,96.4,2
Colombia,PT_POP,Public and primary voluntary health insurance,2013,96,2
Colombia,PT_POP,Public and primary voluntary health insurance,2014,96.6,2
Colombia,PT_POP,Public and primary voluntary health insurance,2015,97.6,2
Colombia,PT_POP,Public and primary voluntary health insurance,2016,95.7,2
Colombia,PT_POP,Public and primary voluntary health insurance,2017,94.9,2
Colombia,PT_POP,Public and primary voluntary health insurance,2018,94.7,2
Costa Rica,PS,Government/compulsory health insurance,2009,4144.6,1
Costa Rica,PS,Government/compulsory health insurance,2010,4192.6,1
Costa Rica,PS,Government/compulsory health insurance,2011,4323.8,1
Costa Rica,PS,Government/compulsory health insurance,2012,4368,1
Costa Rica,PS,Government/compulsory health insurance,2013,4453.5,1
Costa Rica,PS,Government/compulsory health insurance,2014,4519.2,1
Costa Rica,PS,Government/compulsory health insurance,2015,4587.2,1
Costa Rica,PS,Government/compulsory health insurance,2016,4645.3,1
Costa Rica,PS,Government/compulsory health insurance,2017,4719.2,1
Costa Rica,PS,Government/compulsory health insurance,2018,4583.4,1
Costa Rica,PS,Government/compulsory health insurance,2019,4608.4,1
Costa Rica,PS,Government/compulsory health insurance,2020,4692.3,1
Costa Rica,PS,Government/compulsory health insurance,2021,4693.2,1
Costa Rica,PS,Government/compulsory health insurance,2022,4805.7,1
Costa Rica,PS,Government/compulsory health insurance,2023,4891,1
Costa Rica,PT_POP,Public and primary voluntary health insurance,2009,89.7,2
Costa Rica,PT_POP,Public and primary voluntary health insurance,2010,91.9,2
Costa Rica,PT_POP,Public and primary voluntary health insurance,2011,93.7,2
Costa Rica,PT_POP,Public and primary voluntary health insurance,2012,93.6,2
Costa Rica,PT_POP,Public and primary voluntary health insurance,2013,94.4,2
Costa Rica,PT_POP,Public and primary voluntary health insurance,2014,94.7,2
Costa Rica,PT_POP,Public and primary voluntary health insurance,2015,94.9,2
Costa Rica,PT_POP,Public and primary voluntary health insurance,2016,95,2
Costa Rica,PT_POP,Public and primary voluntary health insurance,2017,95.4,2
Costa Rica,PT_POP,Public and primary voluntary health insurance,2018,91.6,2
Costa Rica,PT_POP,Public and primary voluntary health insurance,2019,91.1,2
Costa Rica,PT_POP,Public and primary voluntary health insurance,2020,91.8,2
Costa Rica,PT_POP,Public and primary voluntary health insurance,2021,90.9,2
Costa Rica,PT_POP,Public and primary voluntary health insurance,2022,92.2,2
Costa Rica,PT_POP,Public and primary voluntary health insurance,2023,93,2
Costa Rica,PT_POP,Government/compulsory health insurance,2009,89.7,1
Costa Rica,PT_POP,Government/compulsory health insurance,2010,91.9,1
Costa Rica,PT_POP,Government/compulsory health insurance,2011,93.7,1
Costa Rica,PT_POP,Government/compulsory health insurance,2012,93.6,1
Costa Rica,PT_POP,Government/compulsory health insurance,2013,94.4,1
Costa Rica,PT_POP,Government/compulsory health insurance,2014,94.7,1
Costa Rica,PT_POP,Government/compulsory health insurance,2015,94.9,1
Costa Rica,PT_POP,Government/compulsory health insurance,2016,95,1
Costa Rica,PT_POP,Government/compulsory health insurance,2017,95.4,1
Costa Rica,PT_POP,Government/compulsory health insurance,2018,91.6,1
Costa Rica,PT_POP,Government/compulsory health insurance,2019,91.1,1
Costa Rica,PT_POP,Government/compulsory health insurance,2020,91.8,1
Costa Rica,PT_POP,Government/compulsory health insurance,2021,90.9,1
Costa Rica,PT_POP,Government/compulsory health insurance,2022,92.2,1
