area,FREQ,Frequency of observation,MEASURE,Measure,Age,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1987,,-6.7
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1988,,-6.7
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1989,,-6.6
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1990,,-6.4
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1991,,-6.3
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1992,,-6.3
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1993,,-6.2
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1994,,-6
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1995,,-6
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1996,,-5.7
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1997,,-5.5
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1998,,-5.4
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,1999,,-5.4
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2000,,-5.2
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2001,,-5.1
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2002,,-4.9
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2003,,-4.9
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2004,,-4.7
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2005,,-4.7
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2006,,-4.6
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2007,,-4.6
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2008,,-4.5
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2009,,-4.4
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2010,,-4.3
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2011,,-4.3
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2012,,-4.2
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2013,,-4.1
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2014,,-4.1
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2015,,-4
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2016,,-4.1
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2017,,-4.3
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2018,,-4.2
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2019,,-4.2
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2020,,-4.5
Canada,A,Annual,LFEXPDMF,Life expectancy difference (male-female),0 years,_T,Total,2021,,-4.7
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1960,,71.6
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1961,,71.4
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1962,,71.2
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1963,,71.1
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1964,,71.5
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1965,,71.3
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1966,,71.6
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1967,,71.5
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1968,,71.4
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1969,,71
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1970,,71.2
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1971,,71.3
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1972,,71.5
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1973,,71.5
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1974,,71.9
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1975,,71.9
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1976,,72.2
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1977,,72.5
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1978,,72.6
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1979,,72.4
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1980,,72.4
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1981,,72.7
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1982,,72.7
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1983,,72.8
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1984,,73
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1985,,72.6
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1986,,72.9
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1987,,72.8
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1988,,73.1
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1989,,73.3
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1990,,73.4
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1991,,74
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1992,,74.2
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1993,,74.2
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1994,,74.9
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1995,,74.8
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1996,,75.4
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1997,,75.5
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1998,,75.6
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,1999,,75.6
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2000,,76
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2001,,76.2
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2002,,76.4
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2003,,77.1
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2004,,77.6
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2005,,77.8
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2006,,78.2
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2007,,78.3
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2008,,78.4
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2009,,78.7
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2010,,79
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2011,,79.1
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2012,,79.5
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2013,,79.8
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2014,,80.1
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2015,,80.5
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2016,,80.7
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2017,,81
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2018,,81.1
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2019,,81.3
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2020,,81.6
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2021,,81.7
Norway,A,Annual,LFEXP,Life expectancy,0 years,M,Male,2022,,81
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1960,,13.7
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1961,,14
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1962,,13.7
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1963,,13.9
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1964,,14
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1965,,13.9
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1966,,14
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1967,,14
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1968,,13.9
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1969,,13.9
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1970,,14.3
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1971,,14.1
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1972,,14.1
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1973,,14
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1974,,14.1
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1975,,14.1
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1976,,13.9
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1977,,14.2
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1978,,14.2
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1979,,14.2
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1980,,14.3
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1981,,14.4
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1982,,14.6
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1983,,14.7
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1984,,14.9
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1985,,14.7
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1986,,14.9
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1987,,15
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1988,,15
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1989,,15.5
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1990,,15.4
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1991,,15.5
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1992,,15.6
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1993,,15.6
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1994,,16.1
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1995,,16
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1996,,16.1
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1997,,16.3
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1998,,16.4
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,1999,,16.5
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2000,,16.7
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2001,,16.9
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2002,,16.9
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2003,,17.1
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2004,,17.5
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2005,,17.4
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2006,,17.7
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2007,,17.9
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2008,,18
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2009,,18.2
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2010,,18.3
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2011,,18.5
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2012,,18.5
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2013,,18.8
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2014,,18.9
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2015,,18.9
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2016,,19.1
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2017,,19.2
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2018,,19.2
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2019,,19.6
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2020,,18.9
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2021,,19.6
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2022,,19.6
Sweden,A,Annual,LFEXP,Life expectancy,65 years,M,Male,2023,,19.8
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1960,,19.4
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1961,,19.6
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1962,,19.5
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1963,,19.6
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1964,,19.3
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1965,,19.5
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1966,,19.3
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1967,,19.7
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1968,,19.4
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1969,,19.8
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1970,,19.4
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1971,,20
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1972,,20.3
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1973,,20.4
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1974,,20.2
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1975,,20.8
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1976,,20.7
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1977,,21.1
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1978,,21.4
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1979,,21.8
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1980,,21.9
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1981,,22.1
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1982,,21.9
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1983,,22.4
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1984,,22.4
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1985,,22.4
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1986,,22.6
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1987,,22.8
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1988,,22.9
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1989,,22.8
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1990,,23.2
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1991,,23.4
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1992,,23.4
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1993,,23.7
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1994,,24
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1995,,23.7
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1996,,23.8
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1997,,24
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1998,,24.3
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,1999,,24.5
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2000,,24.7
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2001,,25
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2002,,25.2
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2003,,25.3
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2004,,25.5
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2005,,25.7
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2006,,25.8
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2007,,26
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2008,,26
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2009,,26.1
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2010,,26.2
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2011,,26.4
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2012,,26.4
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2013,,26.5
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2014,,26.6
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2015,,26.7
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2016,,26.7
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2017,,26.8
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2018,,27
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2019,,27.1
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2020,,27.4
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2021,,27.4
Australia,A,Annual,LFEXP,Life expectancy,60 years,F,Female,2022,,27.3
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1980,,75.1
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1981,,75.5
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1982,,75.7
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1983,,76.1
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1984,,76.4
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1985,,76.4
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1986,,76.5
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1987,,76.8
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1988,,76.9
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1989,,77.2
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1990,,77.5
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1991,,77.7
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1992,,77.9
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1993,,77.8
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1994,,78
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1995,,78.1
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1996,,78.3
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1997,,78.5
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1998,,78.7
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,1999,,78.9
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,2000,,79.3
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,2001,,79.5
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,2002,,79.6
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,2003,,79.8
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,2004,,80.1
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,2005,,80.2
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,2006,,80.7
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,2007,,80.7
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,2008,,80.8
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,2009,,81.2
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,2010,,81.4
Canada,A,Annual,LFEXP,Life expectancy,0 years,_T,Total,2011,,81.6
